Named Entity                                                     Count
-------------------------------------------------------------  -------
coronavirus-like                                                     1
coronavirus                                                         31
mouse                                                              102
scov                                                                80
coronavirus-like particle                                            3
vlp                                                                120
scov s                                                              20
mouse hepatitis virus                                                3
cho cell                                                             7
balb/c mouse                                                         8
alum                                                                61
lung                                                                40
cellular                                                             8
SARS coronavirus                                                     3
human                                                                5
coronaviruse                                                         6
bat                                                                  1
civet                                                                1
nucleocapsid                                                         4
type i transmembrane glycoprotein                                    1
membrane ( m ) protein                                               1
coronavirus s                                                        2
cell                                                                15
membrane                                                             3
host cell membrane .                                                 1
coronavirus tissue                                                   1
scov vaccine                                                         8
coronavirus particle through                                         1
m                                                                    6
virus particle                                                       1
vaccinia virus                                                       3
alphavirus                                                           1
scov vlp                                                            10
293 t cell                                                          10
insect cell                                                          1
mammalian cell                                                       4
murine coronavirus                                                   2
vero e6 cell                                                        14
Dulbecco 's                                                          1
dmem                                                                 1
penicillin                                                           1
streptomycin                                                         1
g/ml                                                                 1
sodium bicarbonate                                                   1
fbs                                                                  2
GA                                                                   1
stock                                                                1
pcaggs-mhv-a59/s                                                     2
pcaggs-mhv-a59/m                                                     3
pcaggs-a59/n                                                         1
mhv                                                                  9
chicken beta-actin                                                   1
pcaggs-s                                                             1
pcaggs-e                                                             2
scov e                                                               1
pcaggs-m                                                             2
scov m                                                               3
scov n                                                               4
mhv vlp                                                             15
subconfluent 293 t cell culture                                      1
tissue                                                               5
transit-293                                                          1
sucrose                                                              9
nte buffer                                                           2
\u221280 \u2022 c                                                    1
mhv s ,                                                              1
rabbit                                                               1
jhm                                                                  2
rabbit polyclonal anti-scov s protein antibody                       1
cat                                                                 10
no. ap6000a                                                          1
rabbit anti-scov s protein antibody                                  1
imgenex                                                              2
rabbit polyclonal anti-scov n protein antibody                       1
scov pupm                                                            1
no. ap6008a                                                          1
scov pupm antibody                                                   1
anti-scov m antibody                                                 1
prosci                                                               1
cat no. 3529P                                                        1
bio-safe coomassie stain ( bio-rad )                                 1
phosphotungstic acid                                                 1
electron                                                             1
six-to 8-week-old                                                    1
MA                                                                   1
virus vaccine                                                        1
phosphate buffered saline                                            1
pierce                                                               1
norm-ject                                                            1
leave                                                                5
body                                                                 1
naris                                                                1
isoflurane                                                           2
IL                                                                   1
retro-orbital sinus                                                  1
serum                                                               11
fbs-dmem                                                             1
l.                                                                   1
serum sample                                                         1
virusinduced cpe                                                     1
lung lobe                                                            1
right middle lobe                                                    1
right low lobe                                                       1
accessory lobe                                                       1
leave lobe                                                           1
lobe                                                                 1
TissueLyser                                                          1
homogenate                                                           1
tcid                                                                 2
lung homogenate                                                      1
formalin-fixed                                                       1
paraffin-embedded tissue section                                     1
ihc                                                                  2
